         nH         pok         xH2        xHII          xe      chi_pe      chi_lw      chi_h2      chi_ci       xi_cr     nLambda       Gamma 
1.77828e+01 4.04844e+03 1.15335e-05 1.25390e-03 1.41411e-03 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 6.32456e-16 7.98303e-26 7.98305e-26 
1.99526e+01 4.09037e+03 1.30380e-05 1.09503e-03 1.25516e-03 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 6.32456e-16 8.04456e-26 8.04458e-26 
2.23872e+01 4.15790e+03 1.46675e-05 9.56537e-04 1.11660e-03 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 6.32456e-16 8.10774e-26 8.10776e-26 
2.51189e+01 4.24953e+03 1.64382e-05 8.35601e-04 9.95598e-04 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 6.32456e-16 8.17314e-26 8.17316e-26 
2.81838e+01 4.36443e+03 1.83681e-05 7.29842e-04 8.89774e-04 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 6.32456e-16 8.24134e-26 8.24135e-26 
3.16228e+01 4.50226e+03 2.04766e-05 6.37257e-04 7.97126e-04 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 6.32456e-16 8.31293e-26 8.31291e-26 
3.54813e+01 4.66317e+03 2.27855e-05 5.56130e-04 7.15936e-04 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 6.32456e-16 8.38856e-26 8.38857e-26 
3.98107e+01 4.84767e+03 2.53184e-05 4.85025e-04 6.44765e-04 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 6.32456e-16 8.46883e-26 8.46882e-26 
4.46684e+01 5.05670e+03 2.81017e-05 4.22679e-04 5.82352e-04 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 6.32456e-16 8.55443e-26 8.55442e-26 
5.01187e+01 5.29151e+03 3.11645e-05 3.68018e-04 5.27620e-04 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 6.32456e-16 8.64598e-26 8.64598e-26 
